error_count,reference_count,error_mean,reference_mean,mean_difference,error_median,reference_median,median_difference,error_missing_rate,reference_missing_rate,missing_rate_difference,feature,relative_mean_difference
71,106436,0.07042253521126761,0.3146867601187568,-0.24426422490748917,0.0,0.0,0.0,0.0,0.0,0.0,syn_ack_seen,77.62138604601874
71,106436,0.07042253521126761,0.31466796948400916,-0.24424543427274154,0.0,0.0,0.0,0.0,0.0,0.0,ack_after_syn_ack,77.62004969023504
71,106436,0.2138667878970294,2.5286149281611228,-2.3147481402640935,0.0,0.0009889602661132,-0.0009889602661132,0.0,0.0,0.0,flow_duration,91.54213694164342
71,106436,2.140845070422535,4.516986733811868,-2.3761416633893333,1.0,3.0,-2.0,0.0,0.0,0.0,flow_packet_count,52.60457476225785
71,106436,1014.4929577464789,3973.8241572400316,-2959.331199493553,77.0,198.0,-121.0,0.0,0.0,0.0,flow_byte_count,74.4706127497327
71,106436,1.6619718309859155,2.5883911458529067,-0.9264193148669913,1.0,3.0,-2.0,0.0,0.0,0.0,forward_packet_count,35.79131833885658
71,106436,0.4788732394366197,1.9285955879589614,-1.4497223485223416,0.0,0.0,0.0,0.0,0.0,0.0,reverse_packet_count,75.1698467824759
71,106436,481.4507042253521,355.25357022060206,126.19713400475007,66.0,198.0,-132.0,0.0,0.0,0.0,forward_byte_count,35.523114919404
71,106436,533.0422535211268,3618.5705870194297,-3085.528333498303,0.0,0.0,0.0,0.0,0.0,0.0,reverse_byte_count,85.26925920878092
71,106436,0.0015223943270169563,0.32118682236224755,-0.3196644280352306,4.887580871582031e-06,4.0531158447265625e-06,8.344650268554688e-07,0.6338028169014085,0.2622420985380886,0.3715607183633199,iat_min,99.52600971739123
71,106436,0.052359659981881065,0.6716738119159521,-0.619314151934071,0.00084382295608515,0.0019428133964538002,-0.0010989904403686502,0.6338028169014085,0.2622420985380886,0.3715607183633199,iat_mean,92.20460005243841
71,106436,0.2860773526705228,2.0991555819429557,-1.813078229272433,0.00098097324371335,0.0068550109863281,-0.0058740377426147496,0.6338028169014085,0.2622420985380886,0.3715607183633199,iat_max,86.37178896450673
71,106436,0.0981677797453068,0.6050134375085511,-0.5068456577632443,0.0,0.00046760986477085,-0.00046760986477085,0.6338028169014085,0.2622420985380886,0.3715607183633199,iat_std,83.77428108877015
71,106436,42230397.269011185,13113803.787250156,29116593.48176103,134523.18440070818,145725.19223760633,-11202.007836898149,0.6338028169014085,0.26373595400052613,0.37006686290088237,byte_rate,222.0301138718388
71,106436,149.97832550860724,464.1182973565921,-314.13997184798484,66.0,66.0,0.0,0.0,0.0,0.0,frame_length_mean,67.6853236851863
71,106436,133.65438184663537,448.3495936714343,-314.69521182479895,52.0,52.0,0.0,0.0,0.0,0.0,ip_total_length_mean,70.18969488693642
71,106436,29838.422535211266,41049.76413995265,-11211.341604741381,39584.0,44694.0,-5110.0,0.0,0.0,0.0,src_port,27.311585924143422
71,106436,16082.0,5887.188864669849,10194.81113533015,80.0,80.0,0.0,0.0,0.0,0.0,dst_port,173.16942550477987
71,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ip_dscp,
71,106436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ip_ecn,
71,106436,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,ip_header_length,0.0
71,106436,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ip_checksum_valid,0.0
71,106436,0.9295774647887324,0.6919463339471608,0.23763113084157161,1.0,1.0,0.0,0.0,0.0,0.0,l4_checksum_valid,34.342422119071145
71,106436,0.2112676056338028,0.4277781953474388,-0.21651058971363601,0.0,0.0,0.0,0.0,0.0,0.0,flow_direction,50.61281572282744
930,107819,6.0,10.138760329812,-4.1387603298119995,6.0,6.0,0.0,0.0,0.0,0.0,ip_protocol,40.821167432495606
930,107819,62.77962137222499,107.83125862869676,-45.05163725647177,63.0,96.0,-33.0,0.0,0.0,0.0,ttl_mean,41.77975647265823
930,107819,3453.3056489449627,6056.93028036041,-2603.624631415447,351.2142857142857,392.0,-40.78571428571428,0.0,0.3762509390738182,-0.3762509390738182,tcp_window_mean,42.9858775138571
930,107819,30.14459301062317,25.38209009296833,4.762502917654839,32.0,21.846153846153847,10.153846153846153,0.0,0.3762509390738182,-0.3762509390738182,tcp_header_length_mean,18.76324171969671
930,107819,1.0548387096774194,0.41213515243138965,0.6427035572460298,0.0,0.0,0.0,0.0,0.0,0.0,syn_count,155.94485290914952
930,107819,4.558064516129032,29.54288205232844,-24.984817536199408,4.0,1.0,3.0,0.0,0.0,0.0,ack_count,84.57136135853142
930,107819,0.6225806451612903,0.38381917843793767,0.23876146672335263,1.0,0.0,1.0,0.0,0.0,0.0,fin_count,62.20675780065523
930,107819,0.34623655913978496,0.10022352275572952,0.24601303638405544,0.0,0.0,0.0,0.0,0.0,0.0,rst_count,245.46436766511636
