feature,baseline_accuracy,ablation_accuracy,accuracy_drop,baseline_balanced_accuracy,ablation_balanced_accuracy,balanced_accuracy_drop,baseline_precision,ablation_precision,precision_drop,baseline_recall,ablation_recall,recall_drop,baseline_f1,ablation_f1,f1_drop,baseline_auc,ablation_auc,auc_drop
ip_ecn,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
ip_checksum_valid,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
ip_header_length,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
fragment_offset,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
ip_protocol,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9979627387221929,5.004137792941066e-05
ip_mf,0.994441203239131,0.994441203239131,0.0,0.9944676956471631,0.9944676956471631,0.0,0.9903189437492429,0.9903189437492429,0.0,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944283047731324,0.0,0.9980127801001223,0.9980127801001223,0.0
frame_length_mean,0.994441203239131,0.9944458705747824,-4.66733565140931e-06,0.9944676956471631,0.9944723933058499,-4.697658686825257e-06,0.9903189437492429,0.990319033953263,-9.020402014225937e-08,0.9985719117591793,0.998581307076553,-9.395317373761536e-06,0.9944283047731324,0.9944330089820359,-4.704208903527629e-06,0.9980127801001223,0.9980914421266622,-7.866202653994403e-05
reverse_byte_count,0.994441203239131,0.9944505379104338,-9.33467130281862e-06,0.9944676956471631,0.9944769101931896,-9.21454602653693e-06,0.9903189437492429,0.9903465369599046,-2.7593210661702727e-05,0.9985719117591793,0.9985625164418054,9.395317373872558e-06,0.9944283047731324,0.9944375570162102,-9.252243077795264e-06,0.9980127801001223,0.9981286996721009,-0.00011591957197865099
flow_packet_count,0.994441203239131,0.9944552052460853,-1.4002006954338952e-05,0.9944676956471631,0.9944816078518766,-1.3912204713473209e-05,0.9903189437492429,0.9903466269101752,-2.768316093226808e-05,0.9985719117591793,0.9985719117591793,0.0,0.9944283047731324,0.9944422612698591,-1.3956496726752476e-05,0.9980127801001223,0.9976693359766682,0.00034344412345410635
ip_total_length_mean,0.994441203239131,0.9944552052460853,-1.4002006954338952e-05,0.9944676956471631,0.9944818488803395,-1.415323317643935e-05,0.9903189437492429,0.9903100775193798,8.866229863069286e-06,0.9985719117591793,0.9986094930286745,-3.758126949526819e-05,0.9944283047731324,0.9944424692651709,-1.4164492038504228e-05,0.9980127801001223,0.998090417842834,-7.763774271174473e-05
