feature,accuracy_drop_mean,accuracy_drop_std,balanced_accuracy_drop_mean,balanced_accuracy_drop_std,f1_drop_mean,f1_drop_std,recall_drop_mean,recall_drop_std,auc_drop_mean,auc_drop_std
psh_count,3.333333333329266e-05,3.771236166326791e-05,3.2969493156305894e-05,3.778881749244883e-05,3.322375631098495e-05,3.791562428115031e-05,-1.3438692683998e-05,5.0282983749577016e-05,0.00042414553702659524,6.354474283581688e-05
ip_protocol,3.333333333329266e-05,3.771236166326791e-05,3.453758954034362e-05,3.8010362908495786e-05,3.4284286777356655e-05,3.8072242252590306e-05,0.00018814169757563892,7.602072581693923e-05,0.00033642201171405855,2.510999639318076e-05
ip_df,1.333333333330966e-05,3.399346342393509e-05,1.448409027334415e-05,3.40380572606854e-05,1.4162415688338351e-05,3.4166145054539667e-05,0.00016126431220771695,5.701554436271751e-05,0.0003191868190093687,6.754793957376456e-05
flow_packet_count,-4.666666666663932e-05,3.399346342393509e-05,-4.6199106322456864e-05,3.387255999377314e-05,-4.6546344220410596e-05,3.405341880876706e-05,1.3438692683960992e-05,1.9005181454221723e-05,0.00025417855657083877,2.5624260828308456e-05
syn_seen,-2.0000000000020002e-05,1.6329931618570854e-05,-1.9844419749189452e-05,1.6202900875692724e-05,-1.997774487842256e-05,1.6311869584674782e-05,0.0,0.0,0.00020499980043575672,2.7151620940805313e-05
syn_count,6.666666666673334e-06,9.428090415830063e-06,6.719346341999e-06,9.50259072713703e-06,6.729334793398323e-06,9.516716530573058e-06,1.3438692683960992e-05,1.9005181454221723e-05,0.00018915615993016685,5.761654295447751e-05
l4_checksum_valid,9.999999999998899e-05,8.640987597877223e-05,9.880393971006818e-05,8.607666219066048e-05,9.958560124978533e-05,8.652210135092064e-05,-5.375477073591798e-05,5.028298374956713e-05,9.100719381175774e-05,5.845525239991253e-05
ack_after_syn_ack,6.666666666673334e-06,2.4944382578517887e-05,6.928425859846025e-06,2.500184157912222e-05,6.869957812183358e-06,2.508547076077651e-05,4.031607805191998e-05,3.291793988582311e-05,6.985976063881665e-05,4.858535339560473e-05
ip_dscp,-6.666666666673334e-06,9.428090415830063e-06,-6.196647547381436e-06,9.429539222911686e-06,-6.378711295422039e-06,9.467866300907679e-06,5.3754770735880975e-05,1.900518145427406e-05,3.72892253378924e-05,3.1578113562983746e-05
eth_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_version,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_ecn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vlan_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vlan_priority,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_header_length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_mf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fragment_offset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_checksum_valid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syn_ack_seen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1410568024043203e-05,3.091587774511878e-05
